"File","Parameter","Value","OriginalValue","Type","IsSensitive","Description"
"System","ops-service.port","8083","8083","Number","False","Ops Service"
"System","knowledge-service.port","8092","8092","Number","False","Knowledge Service"
"System","chat-service.port","8093","8093","Number","False","Chat Service"
"System","notification-service.port","8094","8094","Number","False","Notification Service"
"System","workflow-service.port","8091","8091","Number","False","Workflow Service"
"/ops-service/src/main/resources/application.yml","port","${SERVER_PORT:8083}","${SERVER_PORT:8083}","String","False",""
"/ops-service/src/main/resources/application.yml","address","${SERVER_ADDRESS:0.0.0.0}","${SERVER_ADDRESS:0.0.0.0}","String","False",""
"/ops-service/src/main/resources/application.yml","name","ops-service","ops-service","String","False",""
"/ops-service/src/main/resources/application.yml","allow-bean-definition-overriding","true","true","Boolean","False",""
"/ops-service/src/main/resources/application.yml","enabled","${NACOS_ENABLED:true}","${NACOS_ENABLED:true}","String","False",""
"/ops-service/src/main/resources/application.yml","server-addr","localhost:8848","localhost:8848","String","False",""
"/ops-service/src/main/resources/application.yml","enabled","false","false","Boolean","False",""
"/ops-service/src/main/resources/application.yml","url","jdbc:postgresql://${DB_HOST:8.137.116.121}:${DB_PORT:8432}/${DB_NAME:business_db}","jdbc:postgresql://${DB_HOST:8.137.116.121}:${DB_PORT:8432}/${DB_NAME:business_db}","String","False",""
"/ops-service/src/main/resources/application.yml","username","${DB_USERNAME:business}","${DB_USERNAME:business}","String","False",""
"/ops-service/src/main/resources/application.yml","password","${****4}","${DB_PASSWORD:NewPass2024}","String","True",""
"/ops-service/src/main/resources/application.yml","driver-class-name","org.postgresql.Driver","org.postgresql.Driver","String","False",""
"/ops-service/src/main/resources/application.yml","maximum-pool-size","5","5","Number","False",""
"/ops-service/src/main/resources/application.yml","minimum-idle","1","1","Number","False",""
"/ops-service/src/main/resources/application.yml","ddl-auto","none","none","String","False",""
"/ops-service/src/main/resources/application.yml","show-sql","false","false","Boolean","False",""
"/ops-service/src/main/resources/application.yml","probability","1.0","1.0","String","False",""
"/ops-service/src/main/resources/application.yml","base-url","http://localhost:9411","http://localhost:9411","String","False",""
"/ops-service/src/main/resources/application.yml","secret","${****n}","${JWT_SECRET:OpsServiceJWTSecretKey2024ChangeInProduction}","String","True",""
"/ops-service/src/main/resources/application.yml","expiration","86400000","86400000","Number","False",""
"/ops-service/src/main/resources/application.yml","include","""*""","""*""","String","False",""
"/ops-service/src/main/resources/application.yml","show-details","always","always","String","False",""
"/ops-service/src/main/resources/application.yml","root","INFO","INFO","String","False",""
"/ops-service/src/main/resources/application.yml","com.example.ops","DEBUG","DEBUG","String","False",""
"/ops-service/target/classes/application.yml","port","${SERVER_PORT:8083}","${SERVER_PORT:8083}","String","False",""
"/ops-service/target/classes/application.yml","address","${SERVER_ADDRESS:0.0.0.0}","${SERVER_ADDRESS:0.0.0.0}","String","False",""
"/ops-service/target/classes/application.yml","name","ops-service","ops-service","String","False",""
"/ops-service/target/classes/application.yml","allow-bean-definition-overriding","true","true","Boolean","False",""
"/ops-service/target/classes/application.yml","enabled","${NACOS_ENABLED:true}","${NACOS_ENABLED:true}","String","False",""
"/ops-service/target/classes/application.yml","server-addr","localhost:8848","localhost:8848","String","False",""
